-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 13: 597155.0788093993
Node 14: 597285.6786571066
Node 15: 597156.2207747517
Node 16: 597285.6874175693
Node 17: 597286.3483437038
Node 18: 597159.257652615
Node 19: 597165.6710723931
Inefficient Network
Node 0: 597211.7358246084
Node 1: 597206.1632629246
Node 2: 597201.1732643964
Node 3: 597211.7358246084
Node 4: 597197.2150127988
Node 5: 597211.7358246084
Node 6: 597193.552568728
Node 7: 597201.1732643964
Node 8: 597206.1632629246
Node 9: 597201.1732643964
Node 10: 597206.1632629246
Node 11: 597211.7358246084
Node 12: 597193.552568728
Node 13: 597189.6029719244
Node 14: 597187.1368540102
Node 15: 597189.6029719244
Node 16: 597206.1632629246
Node 17: 597211.7358246084
Node 18: 597211.7358246084
Node 19: 597201.1732643964
-------------------------------------------------- Round 6 -------------------------------------------------- 
Efficient Network
Node 0: 597154.3287877984
Node 1: 597270.7517694113
Node 2: 597150.9421713325
Node 3: 597151.5191102063
Node 4: 597147.9898363682
Node 5: 597148.4812726313
Node 6: 597271.3843838733
Node 7: 597147.5006483388
Node 8: 597149.6297599457
Node 9: 597153.6149481942
Node 10: 597152.1742689046
Node 11: 597150.9421713325
Node 12: 597149.057788503
Node 13: 597150.9421713325
Node 14: 597271.0547366554
Node 15: 597155.0788093993
Node 16: 597271.3094404232
Node 17: 597272.0370806768
Node 18: 597150.9421713325
Node 19: 597149.6297599457
Inefficient Network
Node 0: 597187.1368540102
Node 1: 597183.1604732395
Node 2: 597187.1368540102
Node 3: 597183.1604732395
Node 4: 597183.1604732395
Node 5: 597187.1368540102
Node 6: 597183.1604732395
Node 7: 597183.1604732395
Node 8: 597183.1604732395
Node 9: 597183.1604732395
Node 10: 597187.1368540102
Node 11: 597187.1368540102
Node 12: 597183.1604732395
Node 13: 597183.1604732395
Node 14: 597187.1368540102
Node 15: 597183.1604732395
Node 16: 597187.1368540102
Node 17: 597183.1604732395
Node 18: 597183.1604732395
Node 19: 597183.1604732395
-------------------------------------------------- Round 7 -------------------------------------------------- 
Efficient Network
Node 0: 597142.4637518502
Node 1: 597255.3884515263
Node 2: 597146.9777850731
Node 3: 597139.5771528278
Node 4: 597143.0806129565
Node 5: 597140.4382300351
Node 6: 597256.166556834
Node 7: 597141.0582346304
Node 8: 597141.8214591321
Node 9: 597142.4637518502
Node 10: 597143.5158314485
Node 11: 597145.4713935829
Node 12: 597141.5196863724
Node 13: 597146.5145489551
Node 14: 597255.8918595467
Node 15: 597144.9536579911
Node 16: 597256.0468010871
Node 17: 597256.769014254
Node 18: 597146.0124969904
Node 19: 597142.0999164203
Inefficient Network
Node 0: 597180.9223695572
Node 1: 597180.9223695572
Node 2: 597180.9223695572
Node 3: 597172.4580146698
Node 4: 597174.350003927
Node 5: 597183.1604732395
Node 6: 597172.4580146698
Node 7: 597180.9223695572
Node 8: 597183.1604732395
Node 9: 597172.4580146698
Node 10: 597172.4580146698
Node 11: 597172.4580146698
Node 12: 597172.4580146698
Node 13: 597183.1604732395
Node 14: 597176.1677208769
Node 15: 597178.1642968218
Node 16: 597183.1604732395
Node 17: 597172.4580146698
Node 18: 597180.9223695572
Node 19: 597172.4580146698
-------------------------------------------------- Round 8 -------------------------------------------------- 
Efficient Network
Node 0: 597136.8414735767
Node 1: 597240.635416796
Node 2: 597137.6222311717
Node 3: 597137.6222311717
Node 4: 597136.2151092942
Node 5: 597133.9638621322
Node 6: 597241.2338643891
Node 7: 597138.0023497829
Node 8: 597134.3968977702
Node 9: 597138.9769174652
Node 10: 597138.481775417
Node 11: 597137.2688057724
Node 12: 597133.6145304571
Node 13: 597137.2688057724
Node 14: 597241.0241977328
Node 15: 597135.1911673647
Node 16: 597241.0743706796
Node 17: 597241.6920029322
Node 18: 597132.8414703044
Node 19: 597133.2375977559
Inefficient Network
Node 0: 597170.8642031448
Node 1: 597170.8642031448
