-------------------------------------------------- Round 0 -------------------------------------------------- 
Efficient Network
Node 11: 14075.168089233843
Node 12: 14077.392048997868
Node 13: 14071.795596948572
Node 14: 14028.870920451443
Node 15: 14028.604564166588
Node 16: 14177.71375006761
Node 17: 14028.870920451443
Node 18: 14037.975381040784
Node 19: 14192.057672649478
Inefficient Network
Node 0: 14030.183429665603
Node 1: 14030.399166975125
Node 2: 14030.774132697883
Node 3: 14029.931539218642
Node 4: 14030.120683116962
Node 5: 14030.112590943761
Node 6: 14030.774132697883
Node 7: 14030.774132697883
Node 8: 14030.774132697883
Node 9: 14029.931539218642
Node 10: 14029.979004650126
Node 11: 14030.183429665603
Node 12: 14030.183429665603
Node 13: 14030.120683116962
Node 14: 14029.931539218642
Node 15: 14030.85765103292
Node 16: 14029.979004650126
Node 17: 14029.979004650126
Node 18: 14031.331797075502
Node 19: 14030.120683116962
-------------------------------------------------- Round 6 -------------------------------------------------- 
Efficient Network
Node 0: 14028.474123909116
Node 1: 14028.474123909116
Node 2: 14028.48436545847
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.474123909116
Node 6: 14028.503407880666
Node 7: 14044.602521463587
Node 8: 14028.443899776235
Node 9: 14065.48939771372
Node 10: 14028.504804591787
Node 11: 14052.38102283492
Node 12: 14070.126508781656
Node 13: 14058.470560066116
Node 14: 14028.49353117018
Node 15: 14028.443899776235
Node 16: 14152.833715515224
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14138.609006932526
Inefficient Network
Node 0: 14029.947358973868
Node 1: 14029.930430455106
Node 2: 14029.947358973868
Node 3: 14029.947358973868
Node 4: 14029.947358973868
Node 5: 14029.930430455106
Node 6: 14029.947358973868
Node 7: 14029.931539218642
Node 8: 14029.947358973868
Node 9: 14029.931539218642
Node 10: 14029.947358973868
Node 11: 14029.947358973868
Node 12: 14029.947358973868
Node 13: 14029.947358973868
Node 14: 14029.931539218642
Node 15: 14029.931539218642
Node 16: 14029.947358973868
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.930786725492
-------------------------------------------------- Round 7 -------------------------------------------------- 
Efficient Network
Node 0: 14028.444115993154
Node 1: 14028.458633923423
Node 2: 14028.444115993154
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.454028005679
Node 6: 14028.449378985304
Node 7: 14028.443160913597
Node 8: 14028.444115993154
Node 9: 14060.403011599697
Node 10: 14028.446180362223
Node 11: 14047.896731182285
Node 12: 14066.471381983833
Node 13: 14028.449378985304
Node 14: 14028.444115993154
Node 15: 14028.443899776235
Node 16: 14138.528411345995
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14112.755461040026
Inefficient Network
Node 0: 14029.947358973868
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.93386633827
Node 4: 14029.947358973868
Node 5: 14029.930430455106
Node 6: 14029.93386633827
Node 7: 14029.931539218642
Node 8: 14029.941797126257
Node 9: 14029.931539218642
Node 10: 14029.947358973868
Node 11: 14029.941797126257
Node 12: 14029.937299579837
Node 13: 14029.941797126257
Node 14: 14029.931539218642
Node 15: 14029.937299579837
Node 16: 14029.937299579837
Node 17: 14029.930430455106
Node 18: 14029.930430455106
Node 19: 14029.930786725492
-------------------------------------------------- Round 8 -------------------------------------------------- 
Efficient Network
Node 0: 14028.446158065097
Node 1: 14028.445641422251
Node 2: 14028.444115993154
Node 3: 14028.443160913597
Node 4: 14028.443191526298
Node 5: 14028.449235858228
Node 6: 14028.449378985304
Node 7: 14028.443160913597
Node 8: 14028.444115993154
Node 9: 14057.088904812214
Node 10: 14028.446158065097
Node 11: 14043.462866014663
Node 12: 14061.35371274501
Node 13: 14028.449378985304
Node 14: 14028.444115993154
Node 15: 14028.443899776235
Node 16: 14122.69546626958
Node 17: 14028.443191526298
Node 18: 14028.443160913597
Node 19: 14094.067370149476
Inefficient Network
Node 0: 14029.931497404352
Node 1: 14029.930430455106
Node 2: 14029.931497404352
Node 3: 14029.931497404352
Node 4: 14029.931497404352
Node 5: 14029.930430455106
Node 6: 14029.931497404352
Node 7: 14029.931539218642
Node 8: 14029.931497404352
Node 9: 14029.931497404352
Node 10: 14029.931497404352
Node 11: 14029.931497404352
